Ticker,ATR,ATRP,ROC_1,ROC_3,ROC_5,ROC_10,ROC_21,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Calculated_Cutoff,Passed_Vol_Check,Passed_Final
TSM,7.33854068,0.03516513,-0.01531609,0.04988630,0.01501946,0.04921066,0.04589262,0.00000000,2189167692.65750027,0.00000000,63997373.56077001,True,True
NFLX,2.16526781,0.02523328,0.01867350,0.03585225,0.02436462,-0.03228717,-0.06837625,0.00000000,2068887031.50000000,0.00000000,63997373.56077001,True,True
COIN,18.78330909,0.06356880,0.04917800,0.15706622,0.14181931,0.14878893,-0.06289049,0.00000000,2041830626.00000000,0.00000000,63997373.56077001,True,True
MU,4.77401266,0.04527405,0.03070201,0.08617322,0.06452443,0.21092238,-0.02191819,0.00000000,2003436085.81025004,0.00000000,63997373.56077001,True,True
UNH,15.19338196,0.03053897,-0.00162547,-0.06249258,-0.02099080,0.01040651,0.02258699,0.00000000,1771766962.23400021,0.00000000,63997373.56077001,True,True
XOM,2.02041128,0.01864811,0.00898686,0.02369704,0.05425813,0.04669069,0.03549651,0.00000000,1724011808.71799994,0.00000000,63997373.56077001,True,True
V,4.57201127,0.01440612,0.00746953,0.03406862,0.03870524,0.01660244,0.01180889,0.00000000,1709943215.39249992,0.00000000,63997373.56077001,True,True
XLF,0.68654441,0.01385825,0.00843338,0.04103581,0.06149722,0.04190064,0.02010539,0.00000000,1664660093.56290007,0.00000000,63997373.56077001,True,True
JPM,5.05162256,0.01980267,0.01923008,0.04723472,0.08041557,0.08540794,0.08731400,0.00000000,1651768434.61500001,0.00000000,63997373.56077001,True,True
SMH,6.44829560,0.02504689,0.02362558,0.05219083,0.04478660,0.05498482,0.02426497,0.00000000,1634326912.38849998,0.00000000,63997373.56077001,True,True
INTC,0.79584192,0.03703313,0.09252669,0.11927083,0.12219321,0.06280910,0.03168507,0.00000000,1512085134.00000000,0.00000000,63997373.56077001,True,True
COST,17.02437280,0.01814396,0.02548482,0.02830233,0.00667113,0.03668929,-0.05003665,0.00000000,1508487146.39499998,0.00000000,63997373.56077001,True,True
BRK-B,6.47810911,0.01384359,0.01110607,0.03981957,0.05713188,0.03735314,0.02800967,0.00000000,1473762198.50000000,0.00000000,63997373.56077001,True,True
PLTR,4.04430804,0.05635095,0.03653957,0.08890912,0.06705323,-0.04548477,-0.05254125,0.00000000,1472800860.00000000,0.00000000,63997373.56077001,True,True
ADBE,11.70730056,0.02722691,0.00716745,0.04186959,0.05929740,-0.02496599,-0.06833792,0.00000000,1439199263.50000000,0.00000000,63997373.56077001,True,True
BRK-A,9847.76788561,0.01401299,0.01422419,0.03995501,0.05996983,0.04035529,0.02774544,0.00000000,1433612050.00000000,17.00000000,63997373.56077001,True,False
CRM,8.79734331,0.02728239,0.01425183,0.00315142,0.02111227,-0.01844665,-0.09041801,0.00000000,1424063572.65299988,0.00000000,63997373.56077001,True,True
BAC,0.96211272,0.02115617,-0.00235827,0.01638219,0.03147731,0.05057592,0.02331196,0.00000000,1387562332.59649992,0.00000000,63997373.56077001,True,True
GLD,2.34677546,0.00941459,-0.00530726,0.00906772,0.00427058,0.01568739,0.01792715,0.00000000,1351599487.00000000,0.00000000,63997373.56077001,True,True
QCOM,4.27459498,0.02655737,0.01938618,0.03153098,0.04828615,0.07107589,0.04224486,0.00000000,1325375026.87500000,0.00000000,63997373.56077001,True,True
DIA,4.87231470,0.01137868,0.00770018,0.02289465,0.03709041,0.02615245,-0.00508844,0.00000000,1291976591.47449994,0.00000000,63997373.56077001,True,True
BA,5.06639888,0.02961248,0.01278636,0.02436834,-0.00529070,-0.00453831,-0.01201132,0.00000000,1287201971.50000000,0.00000000,63997373.56077001,True,True
XLE,0.71645987,0.01575971,0.00772281,0.03003684,0.06301661,0.08423664,0.08581631,0.00000000,1234610293.27269983,0.00000000,63997373.56077001,True,True
HD,7.29649337,0.01826763,0.00012269,0.04226227,0.04998870,0.05385332,-0.00323917,0.00000000,1183778145.88400006,0.00000000,63997373.56077001,True,True
UBER,2.19397583,0.03258057,-0.01808107,0.03855645,0.02076702,0.06601235,0.11767635,0.00000000,1152272787.50000000,0.00000000,63997373.56077001,True,True
IBIT,2.53351075,0.04249431,0.04431599,0.08736093,0.10735513,0.07675637,-0.00996347,0.00000000,1126110614.00000000,0.00000000,63997373.56077001,True,True
BABA,1.91282356,0.02285191,0.03263389,0.04211528,0.05699728,0.00200148,-0.01092289,0.00000000,1114554362.69149995,0.00000000,63997373.56077001,True,True
AMAT,5.63277404,0.02962326,0.02987023,0.10596234,0.11884742,0.17196726,0.13364256,0.00000000,1105343798.21700001,0.00000000,63997373.56077001,True,True
EEM,0.45509437,0.01107339,0.00790175,0.01986729,0.02433602,0.00790175,-0.02259555,0.00000000,1097885987.63969994,0.00000000,63997373.56077001,True,True
XLK,2.14261919,0.01841846,0.01566320,0.02787718,0.02329305,0.00922207,-0.02877037,0.00000000,1093538790.93200016,0.00000000,63997373.56077001,True,True
MA,8.17883890,0.01565415,0.00298128,0.03080350,0.03968742,0.00588161,-0.00912039,0.00000000,1092458560.85599995,0.00000000,63997373.56077001,True,True
CVX,2.63748722,0.01709147,0.01311064,0.02912324,0.05439514,0.10060623,0.08107578,0.00000000,1091244768.02600002,0.00000000,63997373.56077001,True,True
JNJ,2.32704348,0.01631147,-0.00500764,0.01574926,0.03498233,0.02090281,0.02210966,0.00000000,1072270441.88400006,0.00000000,63997373.56077001,True,True
XLV,1.70706877,0.01239188,-0.00673440,0.00128652,0.00386953,0.01867915,0.01080090,0.00000000,1072002128.56050003,0.00000000,63997373.56077001,True,True
CRWD,13.68166666,0.03832400,-0.01755738,0.02574417,0.02339181,0.02781137,-0.08037094,0.00000000,1032517302.00000000,0.00000000,63997373.56077001,True,True
ASML,21.43548632,0.02861227,0.00806402,0.02721710,0.02343668,0.07982387,0.04699794,0.00000000,1021771695.76999998,1.00000000,63997373.56077001,True,True
WMT,1.48398463,0.01629529,0.00700950,0.01266663,-0.01139731,0.02155548,-0.03088416,0.00000000,1020171714.11424994,0.00000000,63997373.56077001,True,True
XLI,1.73500067,0.01276834,0.00598931,0.02461958,0.04888460,0.04912755,0.00649601,0.00000000,1016589451.33850002,0.00000000,63997373.56077001,True,True
PG,2.24111347,0.01427624,0.00392021,0.00870023,0.01620285,-0.02922552,-0.05849402,0.00000000,1014829812.09999990,0.00000000,63997373.56077001,True,True
NVDL,5.84748640,0.08526519,0.06160991,0.08667406,0.02114354,-0.02446657,0.05784359,0.00000000,1010159010.50000000,0.00000000,63997373.56077001,True,True
PDD,3.64669359,0.03454290,0.05296230,0.07581779,0.11501901,0.08958613,0.05983335,0.00000000,991612309.00000000,0.00000000,63997373.56077001,True,True
WFC,1.75991398,0.02332844,0.01487865,0.08273736,0.10177284,0.09816266,0.07085399,0.00000000,967371137.96120000,0.00000000,63997373.56077001,True,True
FXI,0.53380089,0.01799442,0.01944046,0.03364914,0.06142837,0.01739512,0.00898964,0.00000000,961303856.88045001,0.00000000,63997373.56077001,True,True
NOW,5.04411563,0.02353808,0.01354573,0.03897061,0.04578506,0.01625662,-0.05172887,0.00000000,961188914.00000000,0.00000000,63997373.56077001,True,True
ORCL,3.99665657,0.02500473,0.00933966,0.03019639,0.04226822,-0.02773199,-0.05725947,0.00000000,960070033.55449998,0.00000000,63997373.56077001,True,True
RSP,2.04705146,0.01156696,0.00485467,0.02249236,0.03918967,0.03044630,-0.00488074,0.00000000,958829378.96200001,0.00000000,63997373.56077001,True,True
MRK,1.85185146,0.01962287,-0.02760702,-0.01736161,-0.01340143,-0.01260556,-0.02138755,0.00000000,953214740.21249998,0.00000000,63997373.56077001,True,True
PFE,0.48432832,0.01974803,-0.00717333,-0.00416599,-0.01572013,-0.01165045,0.04158190,0.00000000,951427562.62755001,0.00000000,63997373.56077001,True,True
EFA,0.74495908,0.01004940,0.00405389,0.02209798,0.02291601,0.01897896,-0.01022227,0.00000000,950099634.60640001,0.00000000,63997373.56077001,True,True
TXN,4.55153545,0.02442217,0.02695093,-0.00558120,0.01193456,0.02925924,0.01562381,0.00000000,944366489.12199998,0.00000000,63997373.56077001,True,True
PANW,5.51640334,0.03114676,-0.00033866,0.03828116,0.02127782,-0.02008410,-0.12538272,0.00000000,935517866.00000000,0.00000000,63997373.56077001,True,True
ARM,6.69132276,0.04482998,0.01179501,0.06568613,0.06242437,0.16427457,0.02937931,0.00000000,924513917.00000000,0.00000000,63997373.56077001,True,True
DIS,1.95187483,0.01844018,0.00525186,-0.01017421,-0.01500996,-0.03429494,-0.04540781,0.00000000,918985834.00760007,0.00000000,63997373.56077001,True,True
DELL,4.13389517,0.03839020,-0.00427212,0.00531220,-0.04470369,-0.05912729,-0.08074168,0.00000000,911187210.81200004,0.00000000,63997373.56077001,True,True
GS,13.90629985,0.02267007,0.02112596,0.09520103,0.11774964,0.08864698,0.06755621,0.00000000,899942280.61400008,0.00000000,63997373.56077001,True,True
CSCO,0.84022726,0.01421322,0.00685362,0.01516848,0.02536533,0.02606475,0.03925243,0.00000000,889786613.83629990,0.00000000,63997373.56077001,True,True
LRCX,2.75316889,0.03460002,0.01363293,0.06981156,0.07568613,0.10850401,0.03173603,0.00000000,877596460.83155000,0.00000000,63997373.56077001,True,True
PEP,2.53254728,0.01776565,0.01166710,0.02276510,0.03932662,-0.01305058,-0.04980503,0.00000000,877214333.18549991,0.00000000,63997373.56077001,True,True
ABBV,3.38280958,0.02021676,-0.01231893,-0.01351264,-0.01137357,-0.03490062,0.00901515,0.00000000,876395005.63000011,0.00000000,63997373.56077001,True,True
GE,3.81990321,0.02098594,0.01730324,0.03386933,0.06500421,0.08458761,0.10469682,0.00000000,858904729.77900004,0.00000000,63997373.56077001,True,True
NKE,1.54750354,0.02235821,-0.00379689,-0.00463641,-0.00505565,-0.03841393,-0.08238309,0.00000000,858333572.71300006,0.00000000,63997373.56077001,True,True
MCD,4.62218933,0.01683576,0.00432391,-0.00223868,-0.00481740,-0.03952170,-0.05629649,0.00000000,857487111.83050001,0.00000000,63997373.56077001,True,True
BKNG,100.32365255,0.02051415,0.01270211,0.03096830,0.03950822,0.00030681,-0.04373569,0.00000000,852910360.97499990,0.00000000,63997373.56077001,True,True
KO,0.88056470,0.01445613,0.00739093,0.01079949,0.02685439,0.01406910,0.00255771,0.00000000,828960861.75220001,0.00000000,63997373.56077001,True,True
XLU,0.59582486,0.01554656,0.00139528,0.04175422,0.04313224,0.03369574,0.03210899,0.00000000,816263885.08004999,0.00000000,63997373.56077001,True,True
XBI,2.13582212,0.02436965,0.00091020,0.01511624,-0.01643526,-0.03889377,-0.07162386,0.00000000,812290005.64215004,0.00000000,63997373.56077001,True,True
TMO,11.82788749,0.02120917,-0.00366783,0.00477634,0.03197452,0.07095629,0.05542676,0.00000000,804578655.74250007,0.00000000,63997373.56077001,True,True
SNOW,6.11063328,0.03577864,0.01879026,0.04516247,0.05127416,0.08431211,-0.00974082,0.00000000,802063713.00000000,0.00000000,63997373.56077001,True,True
MRVL,4.96173512,0.03987443,0.06106265,0.08298593,0.09132528,0.09918202,0.00034568,0.00000000,800727912.20569992,0.00000000,63997373.56077001,True,True
C,1.74495230,0.02241985,0.01885046,0.08829925,0.12030786,0.14369453,0.11889701,0.00000000,793942096.97109997,0.00000000,63997373.56077001,True,True
ACN,7.41003901,0.02122588,0.00579094,0.01460715,0.01228883,0.01510279,-0.00832306,0.00000000,789986984.06999993,0.00000000,63997373.56077001,True,True
CAT,7.73862723,0.02034997,0.01437225,0.03888898,0.09977211,0.07296187,0.01873645,0.00000000,784402448.73900008,0.00000000,63997373.56077001,True,True
XLP,0.81995232,0.01090561,0.00572915,0.00980577,0.01178977,-0.01441807,-0.04636500,0.00000000,781898518.50919998,0.00000000,63997373.56077001,True,True
SBUX,1.83026200,0.01975038,0.00741294,0.02213362,0.03121933,0.03211518,0.02158487,0.00000000,780347698.67260003,0.00000000,63997373.56077001,True,True
INTU,15.05127896,0.02503694,-0.00517138,-0.03153192,-0.03095743,-0.02834806,-0.09883045,0.00000000,777466791.33399999,0.00000000,63997373.56077001,True,True
CMCSA,0.68454210,0.01925863,0.00743716,0.00549925,0.00605136,-0.01422720,-0.05075670,0.00000000,758982891.68505001,0.00000000,63997373.56077001,True,True
VTI,3.67908600,0.01257257,0.00923259,0.02697391,0.03097927,0.02399115,-0.01327201,0.00000000,752060184.99150002,0.00000000,63997373.56077001,True,True
AGG,0.40607686,0.00435714,0.00000000,0.01084622,0.01021400,0.00010302,-0.00792295,0.00000000,741911903.51370001,0.00000000,63997373.56077001,True,True
SOXX,5.62252831,0.02464616,0.02773298,0.04923054,0.05288663,0.05958635,0.01170335,0.00000000,724567932.84299994,0.00000000,63997373.56077001,True,True
LIN,6.66671003,0.01549652,0.00811494,0.02038362,0.05275690,0.05270795,0.01797638,0.00000000,720583590.60299993,0.00000000,63997373.56077001,True,True
IBM,4.20443203,0.01918711,0.00956453,0.03232736,0.02293490,0.02205224,-0.01979835,0.00000000,719805384.00399995,0.00000000,63997373.56077001,True,True
GDX,0.86342293,0.02366515,0.00354825,0.01183923,0.02168544,0.03989716,0.02090783,0.00000000,716583306.17554998,0.00000000,63997373.56077001,True,True
PYPL,2.54893147,0.02782731,0.03250074,0.05310828,0.10136748,0.06532823,0.00558572,0.00000000,714747695.08509994,0.00000000,63997373.56077001,True,True
TMUS,4.17052648,0.01934328,0.01492214,0.02236237,0.03629827,-0.00255369,-0.04575892,0.00000000,713870651.88450003,0.00000000,63997373.56077001,True,True
NEE,1.49563166,0.02179602,-0.00854776,0.04089431,0.05016238,-0.01187003,-0.02788855,0.00000000,699543228.13155007,0.00000000,63997373.56077001,True,True
VZ,0.56882960,0.01540504,0.01147483,0.01305938,0.02565463,-0.01847426,-0.03455984,0.00000000,690088792.39120007,0.00000000,63997373.56077001,True,True
AMGN,5.49584713,0.02085457,0.00994880,0.01875677,0.03767872,0.04948508,0.02105006,0.00000000,689808706.00799990,0.00000000,63997373.56077001,True,True
GEV,14.77835963,0.03687556,0.02662609,0.05009642,0.09346317,0.18431232,0.18951833,0.00000000,649989604.51250005,0.00000000,63997373.56077001,True,True
DHR,5.32479611,0.02244855,-0.01463508,0.00311252,0.01399588,0.03720288,0.01904042,0.00000000,649447176.48300004,0.00000000,63997373.56077001,True,True
KRE,1.52803339,0.02486297,0.01496565,0.03072475,0.08163352,0.05680357,-0.02442346,0.00000000,647329562.59299994,0.00000000,63997373.56077001,True,True
KLAC,22.66016363,0.03017131,0.01366261,0.08015481,0.10893571,0.18982930,0.15445095,0.00000000,634852117.03950000,0.00000000,63997373.56077001,True,True
VRT,6.19308558,0.04564244,0.02481854,0.05374866,0.05390417,0.14860495,0.07867018,0.00000000,630719390.91735005,0.00000000,63997373.56077001,True,True
AXP,6.23283381,0.02010877,0.00346731,0.04061667,0.06566823,0.04981219,0.03203423,0.00000000,630309521.77649999,0.00000000,63997373.56077001,True,True
CVS,1.58728668,0.03145503,0.01270342,0.02036190,0.09602290,0.18995864,0.12918644,0.00000000,627867611.47994995,0.00000000,63997373.56077001,True,True
ANET,3.61875286,0.03016884,0.01540676,0.04386041,0.04906419,0.07299401,0.02934867,0.00000000,626687125.50000000,0.00000000,63997373.56077001,True,True
MS,3.17088039,0.02364300,0.01516906,0.10632208,0.11681531,0.10490934,0.06851771,0.00000000,624314449.94079995,0.00000000,63997373.56077001,True,True
ADI,5.58640419,0.02591048,0.01925004,0.02100697,0.03196841,0.03695153,0.01317193,0.00000000,621751211.88999999,0.00000000,63997373.56077001,True,True
CMG,1.31258669,0.02281966,-0.01439342,0.01913536,0.01805310,-0.03957255,-0.11234568,0.00000000,619500159.00000000,0.00000000,63997373.56077001,True,True
ETN,7.37494002,0.02151251,0.00315735,0.01805240,0.01414630,0.04313786,-0.02497426,0.00000000,615457579.32500005,0.00000000,63997373.56077001,True,True
XLY,2.03017904,0.01786705,0.01401978,0.03420437,0.03804025,0.03532574,-0.03781765,0.00000000,614533698.28795004,0.00000000,63997373.56077001,True,True
IEF,0.45171358,0.00507482,0.00075779,0.01370617,0.01226283,-0.00054009,-0.01029833,0.00000000,611659501.74845004,0.00000000,63997373.56077001,True,True
COP,1.90972380,0.01866587,0.00227275,0.00925296,0.03856278,0.05765623,0.06307415,0.00000000,607129716.17799997,0.00000000,63997373.56077001,True,True
T,0.37551534,0.01738087,0.01226140,0.02247494,0.02766428,-0.01126254,-0.01169221,0.00000000,602764620.54314995,0.00000000,63997373.56077001,True,True
RTX,1.83633164,0.01544525,0.00539512,0.01372748,0.05212251,0.04395585,0.02539932,0.00000000,597085654.80150008,0.00000000,63997373.56077001,True,True
BMY,1.07086051,0.01975160,-0.00159659,0.00986838,0.00824015,0.00213675,0.01863807,0.00000000,594462896.16954994,0.00000000,63997373.56077001,True,True
GM,1.50660560,0.02986476,-0.01678273,0.00058908,0.02246697,-0.00778664,-0.02431118,0.00000000,586530852.75465000,0.00000000,63997373.56077001,True,True
SPXL,6.44221514,0.03667205,0.02791691,0.07849048,0.08596421,0.05857151,-0.05442400,0.00000000,583871657.45099998,0.00000000,63997373.56077001,True,True
F,0.22254205,0.02348055,0.01698276,0.04090031,0.05492260,0.05492260,0.01901873,0.00000000,580898538.74741006,0.00000000,63997373.56077001,True,True
LULU,12.47951867,0.03339448,0.00730478,-0.03868910,-0.05504842,0.00373345,-0.04115564,0.00000000,578187992.00000000,0.00000000,63997373.56077001,True,True
EWZ,0.46788380,0.02087658,0.00770213,0.02524703,0.03790029,0.03698785,-0.00245693,0.00000000,577400791.34689999,0.00000000,63997373.56077001,True,True
HON,4.27614746,0.02082867,-0.00049172,0.01867142,0.02011905,-0.01303765,-0.05686355,0.00000000,569306832.15549994,0.00000000,63997373.56077001,True,True
ABT,1.76802955,0.01579246,-0.00377298,0.00934023,0.01572296,0.00560496,0.01292004,0.00000000,568859503.97199988,0.00000000,63997373.56077001,True,True
ISRG,14.28631164,0.02410622,0.01465553,0.09976247,0.08250680,0.13092762,0.09345191,0.00000000,564425349.00000000,0.00000000,63997373.56077001,True,True
CEG,15.79488947,0.05020674,0.00355042,0.09516085,0.03659758,0.30403983,0.32201944,0.00000000,562860462.90050006,0.00000000,63997373.56077001,True,True
BIL,0.02270558,0.00025821,0.00054617,0.00065547,0.00098353,0.00196786,0.00397671,0.00000000,561011783.68560004,0.00000000,63997373.56077001,True,True
LOW,4.57233279,0.01786528,0.00881363,0.03929634,0.05308766,0.05701070,0.00369423,0.00000000,557993657.79149997,0.00000000,63997373.56077001,True,True
MELI,53.52187292,0.02915135,-0.00064229,0.04698308,0.04391137,0.04022663,0.02186206,0.00000000,554681114.00000000,0.00000000,63997373.56077001,True,True
ABNB,3.71648679,0.02750508,0.02239709,0.05893417,0.04235131,0.02768482,0.02208775,0.00000000,547225679.00000000,0.00000000,63997373.56077001,True,True
TGT,3.77050484,0.02946513,0.00270334,-0.02095575,-0.05655578,-0.02608967,0.00875810,0.00000000,545194538.45749998,0.00000000,63997373.56077001,True,True
SHOP,3.97311956,0.03844334,-0.00144928,0.01712430,-0.00347122,-0.03887287,-0.10859065,0.00000000,544803823.00000000,0.00000000,63997373.56077001,True,True
UNP,4.11922479,0.01800360,-0.00268508,0.02127356,0.04018440,0.02243275,0.00588230,0.00000000,534257919.25699997,0.00000000,63997373.56077001,True,True
IEFA,0.69759062,0.01014339,0.00464686,0.02264383,0.02308349,0.01754025,-0.00985068,0.00000000,531209897.06850004,0.00000000,63997373.56077001,True,True
PM,2.02625696,0.01709748,0.01494429,0.02633562,0.03790373,0.00404968,-0.02381325,0.00000000,529623552.39464998,0.00000000,63997373.56077001,True,True
SPGI,8.38677462,0.01683496,-0.00653303,0.03589415,0.03964923,0.01283487,-0.00198931,0.00000000,529530132.19800001,0.00000000,63997373.56077001,True,True
TJX,1.96890131,0.01635871,0.00387009,0.02188827,0.01490851,0.00577436,-0.01511395,0.00000000,528678585.72200000,0.00000000,63997373.56077001,True,True
VST,8.88698589,0.05229823,-0.01804660,0.00205212,0.02476752,0.14165071,0.17757651,0.00000000,526153607.70260000,0.00000000,63997373.56077001,True,True
PGR,4.85671008,0.01995362,-0.00757570,0.01634758,0.03425272,0.03208189,-0.00751095,0.00000000,524588894.21649998,0.00000000,63997373.56077001,True,True
FCX,1.08534686,0.02729265,0.00474746,0.02210925,0.03574461,0.06582224,-0.00900115,0.00000000,517240610.01999998,0.00000000,63997373.56077001,True,True
UPS,2.19872077,0.01811331,-0.00161207,0.03091374,0.05231812,0.04730639,0.00917835,0.00000000,515073948.94200003,0.00000000,63997373.56077001,True,True
SNPS,14.87674359,0.02824519,0.02111243,0.07410882,0.06935477,0.09104091,0.00879125,0.00000000,515058808.00000000,0.00000000,63997373.56077001,True,True
ELV,9.45263744,0.02500857,0.00007938,-0.02001576,0.01086346,0.05319531,0.03212065,0.00000000,514585420.83299994,0.00000000,63997373.56077001,True,True
SPOT,14.84752145,0.03058003,-0.00980952,0.04732630,0.05657955,0.06059547,0.00129924,0.00000000,508678742.50000000,0.00000000,63997373.56077001,True,True
DE,10.20234228,0.02262923,0.03719041,0.05350379,0.11471875,0.08910217,0.04280166,0.00000000,508411043.64549994,0.00000000,63997373.56077001,True,True
EMB,0.46077276,0.00539975,0.00189501,0.01216631,0.01216631,0.00570785,-0.00698109,0.00000000,503754309.66740000,0.00000000,63997373.56077001,True,True
NXPI,5.79021915,0.02739143,0.02182498,0.02245762,0.04164347,0.04437100,-0.01292516,0.00000000,503326061.18299997,0.00000000,63997373.56077001,True,True
NVO,2.92374254,0.03817933,-0.05272650,-0.03067249,-0.08775750,-0.10089078,-0.27172855,0.00000000,500634029.82149994,0.00000000,63997373.56077001,True,True
SLV,0.51205671,0.01854606,-0.01533524,0.01507353,0.00000000,0.02525065,-0.00683453,0.00000000,499892435.50000000,0.00000000,63997373.56077001,True,True
GILD,1.68876869,0.01890223,0.00207274,0.00923128,0.02180691,-0.00043521,-0.00228149,0.00000000,496574209.47055000,0.00000000,63997373.56077001,True,True
VCIT,0.35981351,0.00469975,0.00049920,0.01236630,0.01058099,-0.00074657,-0.01053438,0.00000000,493775422.24489999,0.00000000,63997373.56077001,True,True
OXY,1.10797058,0.02178891,-0.00630996,-0.00211155,0.01306117,0.04336568,0.11523624,0.00000000,490417380.29554999,1.00000000,63997373.56077001,True,True
XYZ,3.45738313,0.03975832,0.00671452,0.05508372,0.05354979,0.00242075,-0.07272340,0.00000000,488291315.00000000,0.00000000,63997373.56077001,True,True
REGN,21.71884286,0.03204215,-0.01680432,-0.01344715,-0.02195413,-0.04699365,-0.05972073,0.00000000,487245253.98900002,0.00000000,63997373.56077001,True,True
MDT,1.61599566,0.01878746,0.01055498,0.03319600,0.09199097,0.09798070,0.09209773,0.00000000,486757910.97654998,1.00000000,63997373.56077001,True,True
VRTX,11.31573008,0.02681453,0.01208749,0.02511782,0.03037406,0.04002366,-0.09846397,0.00000000,486250864.00000000,0.00000000,63997373.56077001,True,True
SCHW,1.58479885,0.02099475,0.01191881,0.05626274,0.05002121,0.03480491,-0.01963063,0.00000000,484184692.25240004,0.00000000,63997373.56077001,True,True
SHW,8.10548058,0.02310208,-0.00053555,0.03611971,0.07214778,0.06249508,-0.03027028,0.00000000,478087287.93599999,0.00000000,63997373.56077001,True,True
BLK,23.35685314,0.02371801,0.00927931,0.04338737,0.05160907,-0.01222713,-0.05606177,0.00000000,471601454.56799996,0.00000000,63997373.56077001,True,True
CI,6.81981801,0.02450792,0.01074785,-0.00364855,0.01792070,0.03460712,0.03926709,0.00000000,470997391.41200006,0.00000000,63997373.56077001,True,True
HUM,9.99944938,0.03575203,0.02476459,0.00000000,0.05051063,0.11866203,0.08890688,0.00000000,468515435.09399998,0.00000000,63997373.56077001,True,True
